
2025/02/01 (22:43:37) | ===> btop++ v.1.4.0
2025/02/01 (22:43:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (06:02:25) | ===> btop++ v.1.4.0
2025/02/02 (06:02:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (06:08:57) | ===> btop++ v.1.4.0
2025/02/02 (06:08:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (06:33:01) | ===> btop++ v.1.4.0
2025/02/02 (06:33:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (06:33:59) | ===> btop++ v.1.4.0
2025/02/02 (06:33:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (17:18:10) | ===> btop++ v.1.4.0
2025/02/06 (17:18:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (17:40:19) | ===> btop++ v.1.4.0
2025/02/06 (17:40:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (17:54:58) | ===> btop++ v.1.4.0
2025/02/06 (17:54:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:14:33) | ===> btop++ v.1.4.0
2025/02/06 (18:14:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:15:20) | ===> btop++ v.1.4.0
2025/02/06 (18:15:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:15:57) | ===> btop++ v.1.4.0
2025/02/06 (18:15:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:28:55) | ===> btop++ v.1.4.0
2025/02/06 (18:28:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:44:40) | ===> btop++ v.1.4.0
2025/02/06 (18:44:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (18:44:50) | ===> btop++ v.1.4.0
2025/02/06 (18:44:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (19:31:48) | ===> btop++ v.1.4.0
2025/02/06 (19:31:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (20:22:49) | ===> btop++ v.1.4.0
2025/02/06 (20:22:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (20:45:32) | ===> btop++ v.1.4.0
2025/02/06 (20:45:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (21:00:53) | ===> btop++ v.1.4.0
2025/02/06 (21:00:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (21:01:01) | ===> btop++ v.1.4.0
2025/02/06 (21:01:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (21:01:53) | ===> btop++ v.1.4.0
2025/02/06 (21:01:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (01:08:23) | ===> btop++ v.1.4.0
2025/02/07 (01:08:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (02:08:47) | ===> btop++ v.1.4.0
2025/02/07 (02:08:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:27:42) | ===> btop++ v.1.4.0
2025/02/07 (06:27:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:28:22) | ===> btop++ v.1.4.0
2025/02/07 (06:28:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:28:30) | ===> btop++ v.1.4.0
2025/02/07 (06:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:29:06) | ===> btop++ v.1.4.0
2025/02/07 (06:29:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:43:19) | ===> btop++ v.1.4.0
2025/02/07 (06:43:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:48:47) | ===> btop++ v.1.4.0
2025/02/07 (06:48:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:53:27) | ===> btop++ v.1.4.0
2025/02/07 (06:53:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (07:22:11) | ===> btop++ v.1.4.0
2025/02/07 (07:22:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (16:10:41) | ===> btop++ v.1.4.0
2025/02/13 (16:10:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (00:05:05) | ===> btop++ v.1.4.0
2025/02/15 (00:05:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (00:08:10) | ===> btop++ v.1.4.0
2025/02/15 (00:08:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (00:08:20) | ===> btop++ v.1.4.0
2025/02/15 (00:08:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (20:43:58) | ===> btop++ v.1.4.0
2025/02/16 (20:43:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (19:39:23) | ===> btop++ v.1.4.0
2025/02/23 (19:39:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (01:50:31) | ===> btop++ v.1.4.0
2025/03/02 (01:50:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (17:56:53) | ===> btop++ v.1.4.0
2025/03/09 (17:56:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (19:25:22) | ===> btop++ v.1.4.0
2025/03/09 (19:25:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (20:42:44) | ===> btop++ v.1.4.0
2025/03/11 (20:42:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (21:29:46) | ===> btop++ v.1.4.0
2025/03/13 (21:29:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (15:33:45) | ===> btop++ v.1.4.0
2025/03/18 (15:33:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (19:00:04) | ===> btop++ v.1.4.0
2025/03/18 (19:00:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (19:08:43) | ===> btop++ v.1.4.0
2025/03/18 (19:08:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (19:31:07) | ===> btop++ v.1.4.0
2025/03/18 (19:31:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (20:46:00) | ===> btop++ v.1.4.0
2025/03/18 (20:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (21:17:42) | ===> btop++ v.1.4.0
2025/03/24 (21:17:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (22:15:03) | ===> btop++ v.1.4.0
2025/03/24 (22:15:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (22:20:20) | ===> btop++ v.1.4.0
2025/03/24 (22:20:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:23:35) | ===> btop++ v.1.4.0
2025/03/26 (01:23:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:25:56) | ===> btop++ v.1.4.0
